"contrast","iso1","iso2","iso1.mean.ratio","iso2.mean.ratio","Condition1(x=1)","Condition2(x=2)","before.interval","after.interval","x.value","y.value","before.prob","after.prob","before.diff","after.diff","before.pval","after.pval","before.FDR","after.FDR","before.t.points","after.t.points","prob","diff","cor","numeric.coordinates"
"SETI_WT.P-SETI_WT.mock","AT5G66210_P5","AT5G66210_P6",0.00897327473657951,0.0336279697553201,"SETI_WT.mock","SETI_WT.P","[1,1.1364]","(1.1364,2]",1.13640592878953,0.545677140813572,1,1,0.550158666666667,-3.48308733333333,0.0933010057497368,0.0398026947570464,0.0933010057497368,0.0796053895140928,1,1,1,4.033246,0.400887536260315,"SETI_WT.mock: 1; SETI_WT.P: 2"
"SETI_WT.P-SETI_WT.mock","AT5G66210.2","AT5G66210_P5",0.0157861471417898,0.00897327473657951,"SETI_WT.mock","SETI_WT.P","[1,1.2879]","(1.2879,2]",1.28792385650873,0.54069912031031,1,1,-0.550158666666667,1.36061966666667,0.0933010057497368,0.155803365541937,0.155803365541937,0.155803365541937,1,1,1,1.91077833333333,0.301522373267347,NA
"SETI_WT.P-SETI_WT.mock","AT5G63370_c2","AT5G63370_c4",0.100023907236121,0.065260264040516,"SETI_WT.mock","SETI_WT.P","[1,1.3916]","(1.3916,2]",1.39155350996951,2.14210363334233,1,1,-3.43254666666667,5.333935,0.00729373812466456,0.00618529558973045,0.00729373812466456,0.00729373812466456,1,1,1,8.76648166666667,-0.966689779541111,NA
"SETI_WT.P-SETI_WT.mock","AT5G63370_P10","AT5G63370_c4",0.0549156551393257,0.065260264040516,"SETI_WT.mock","SETI_WT.P","[1,1.5655]","(1.5655,2]",1.5654636216709,1.56894802023801,1,1,-2.44362333333333,1.87782766666667,0.126337261818187,0.0123628599509296,0.126337261818187,0.0247257199018593,1,1,1,4.321451,-0.673841126250726,NA
"SETI_WT.P-SETI_WT.mock","AT5G63370_ID4","AT5G63370_c4",0.0898834130367156,0.065260264040516,"SETI_WT.mock","SETI_WT.P","[1,1.3965]","(1.3965,2]",1.39654311154785,2.12565940175737,1,1,-2.58101266666667,3.92776933333333,0.116901249702648,0.00718808710644617,0.116901249702648,0.0143761742128923,1,1,1,6.508782,-0.862146211604358,NA
"SETI_WT.P-SETI_WT.mock","AT5G61300_P2","AT5G61300_s1",0.736020345339996,0.263979654660004,"SETI_WT.mock","SETI_WT.P","[1,1.7899]","(1.7899,2]",1.78992549398415,0.446276468518741,1,1,1.85605133333333,-0.493602333333333,0.0628811333325525,0.00127504467041746,0.0628811333325525,0.00255008934083493,1,1,1,2.34965366666667,-0.401783689620591,NA
"SETI_WT.P-SETI_WT.mock","AT5G57565_P2","AT5G57565_P6",0.392052729912719,0.376402353950917,"SETI_WT.mock","SETI_WT.P","[1,1.4869]","(1.4869,2]",1.48693985336913,1.44408183437375,1,1,-2.181691,2.29872066666667,0.0517336277811436,0.035471285646393,0.0517336277811436,0.0517336277811436,1,1,1,4.48041166666667,-0.705513811606956,NA
"SETI_WT.P-SETI_WT.mock","AT5G35170_ID5","AT5G35170_s2",0.0205240679652854,0.0492478464087444,"SETI_WT.mock","SETI_WT.P","[1,1.9535]","(1.9535,2]",1.95345332432163,0.36972905775053,1,1,-4.87064066666667,0.23778,0.00430089571280587,0.0163500569410161,0.00860179142561174,0.0163500569410161,1,1,1,5.10842066666667,0.878616098787585,NA
"SETI_WT.P-SETI_WT.mock","AT5G28646.1","AT5G28646_P2",0.119166348413707,0.880833651586293,"SETI_WT.mock","SETI_WT.P","[1,1.1059]","(1.1059,2]",1.10593305928278,0.379689070138339,1,1,0.364839,-3.07921333333333,0.317743678680775,0.0543582324739672,0.317743678680775,0.108716464947934,1,1,1,3.44405233333333,-0.447989361003339,NA
"SETI_WT.P-SETI_WT.mock","AT5G18260_ID1","AT5G18260_ID4",0.198822283128417,0.123657565520747,"SETI_WT.mock","SETI_WT.P","[1,1.6334]","(1.6334,2]",1.63338940492943,0.463110264087013,1,1,1.05517966666667,-0.610746,0.100440871641258,0.228391803506279,0.200881743282517,0.228391803506279,1,1,1,1.66592566666667,-0.616867720175764,NA
